,node_id,x,y,type,class
0,1,95.60017096289754,82.53329063847983,TAZ,Zones
1,2,20.768181007914688,33.8215312471576,TAZ,Zones
2,3,82.84448852745308,57.57605479445136,TAZ,Zones
3,4,14.928212308202028,75.33018647084769,TAZ,Zones
4,5,51.28046164365648,82.71039370247955,TAZ,Zones
5,6,13.591960402050663,93.34384708515813,TAZ,Zones
6,7,68.90364797811311,14.49946949362273,TAZ,Zones
7,8,84.1747724312279,74.55802110439375,TAZ,Zones
8,9,42.55089974049766,13.935139386782236,TAZ,Zones
9,10,95.69260034533661,90.65287561129269,TAZ,Zones
10,11,22.611443367452743,32.24745587660613,AUX,Zones
11,12,85.32397499056063,28.243351716467956,AUX,Zones
12,13,30.631786553212383,60.5864995819676,AUX,Zones
13,14,96.98303682063218,33.37644567193383,AUX,Zones
14,15,51.78342136168696,67.8648773508143,AUX,Zones
15,16,15.442507046089403,23.309047423143838,INTERSECTION,Non-Zones
16,17,24.977551939628317,76.72410170387272,INTERSECTION,Non-Zones
17,18,86.98942460561098,98.71242718900939,INTERSECTION,Non-Zones
18,19,60.036782043591906,80.80010793223609,INTERSECTION,Non-Zones
19,20,26.198305597053373,84.29656440249241,INTERSECTION,Non-Zones
20,21,14.941490058098827,79.56826785952505,INTERSECTION,Non-Zones
21,22,13.67891494851895,45.684130658483646,INTERSECTION,Non-Zones
22,23,24.892093759149635,73.86706750360057,INTERSECTION,Non-Zones
23,24,38.28246665704073,57.8454992599021,INTERSECTION,Non-Zones
24,25,64.90790566244355,45.07355667575642,INTERSECTION,Non-Zones
25,26,83.75637600610617,27.102441760625386,INTERSECTION,Non-Zones
26,27,77.60319470104766,86.46031466179812,INTERSECTION,Non-Zones
27,28,33.95155752344186,6.8655665918533,INTERSECTION,Non-Zones
28,29,14.856873827232375,81.67344595207268,INTERSECTION,Non-Zones
29,30,45.701938669236796,88.18349988791925,INTERSECTION,Non-Zones
30,31,43.786435768880025,42.351639281525834,INTERSECTION,Non-Zones
31,32,57.421758990301996,83.3229314126865,INTERSECTION,Non-Zones
32,33,37.326922352029065,34.10167131004781,INTERSECTION,Non-Zones
33,34,63.38250573620988,51.979150694528876,INTERSECTION,Non-Zones
34,35,11.464435897915104,54.9206449325483,INTERSECTION,Non-Zones
