,From,To,Volume
0,1,40,4306.271597418096
1,40,1,4866.999229695027
2,2,48,4374.774191301121
3,48,2,4508.521774839529
4,3,30,4614.392768110818
5,30,3,3819.1952307540123
6,4,57,5003.835999291404
7,57,4,5195.624226510787
8,5,52,4511.319972193926
9,52,5,4550.859433703401
10,6,65,4780.225797648565
11,65,6,5524.663141786391
12,7,51,5487.59431525436
13,51,7,3920.912651225216
14,8,29,4352.547774882311
15,29,8,4431.916440436364
16,9,49,4373.344695466038
17,49,9,5702.996245471263
18,10,29,4079.1794182613485
19,29,10,5144.647984340393
20,11,40,4960.573051375963
21,40,11,5042.641330164173
22,12,43,5160.209816141585
23,43,12,4172.810544719963
24,13,45,4549.4514915121445
25,45,13,4185.392788161774
26,14,29,3698.996132351819
27,29,14,4689.565655033504
28,15,30,4874.8988928704475
29,30,15,4649.735113056749
30,16,40,4319.249685138508
31,40,16,4427.277643851012
32,17,62,4661.840990673109
33,62,17,5006.605779485776
34,18,51,3928.05071898887
35,51,18,5355.736528608845
36,19,65,5026.698630004409
37,65,19,4425.6417593831
38,20,29,5194.052067733163
39,29,20,4263.191285034919
40,21,39,4703.970249413402
41,39,21,5410.302838576976
42,22,33,5097.181333655236
43,33,22,3663.735107599104
44,23,43,5234.577545418469
45,43,23,4364.633648015651
46,24,56,5360.210406731429
47,56,24,4567.43525652214
48,25,35,4408.052796504289
49,35,25,5170.458701364762
50,26,32,21.8085255365178
51,32,26,11.671636403692908
52,26,41,24.60152823561003
53,41,26,20.96170043408904
54,26,48,2319.1706391504267
55,48,26,1753.7620258037725
56,26,52,0.0
57,52,26,0.0
58,26,55,799.796187825505
59,55,26,1033.4448513019754
60,26,56,1058.9139568108249
61,56,26,1376.5406929666572
62,26,57,86.78185452924812
63,57,26,114.69178517794428
64,27,29,6820.519488162876
65,29,27,5252.9123566346225
66,27,33,1902.0714596595901
67,33,27,1827.506144096961
68,27,37,215.38747303519415
69,37,27,206.86122937209265
70,27,45,2973.7963346835245
71,45,27,3543.835699840806
72,27,52,2776.550915500841
